nom_standard,code_insee,code_postal,dep_code,dep_nom,population,maire_nom,maire_prenom
Bresse Vallons,01130,1340.0,01,Ain,2380.0,GRIGNOLA-BERNARD,Virginie
Cressin-Rochefort,01133,1350.0,01,Ain,389.0,CHIFFE,Frédéric
Crottet,01134,1290.0,01,Ain,1818.0,LHOTELAIS,Jean-Philippe
Crozet,01135,1170.0,01,Ain,2288.0,JOUANNET,Martine
Cruzilles-lès-Mépillat,01136,1290.0,01,Ain,943.0,BOYER,Dominique
Culoz-Béon,01138,1350.0,01,Ain,3426.0,ANDRE-MASSE,Franck
Curciat-Dongalon,01139,1560.0,01,Ain,451.0,FLEURY,Didier
Curtafond,01140,1310.0,01,Ain,784.0,LABALME,Christian
Cuzieu,01141,1300.0,01,Ain,433.0,CROSNIER,Laurence
Dagneux,01142,1120.0,01,Ain,4753.0,PEGUET,Jean-Christophe
Divonne-les-Bains,01143,1220.0,01,Ain,10137.0,SCATTOLIN,Vincent
Dompierre-sur-Veyle,01145,1240.0,01,Ain,1207.0,TABOURET,Martine
Dompierre-sur-Chalaronne,01146,1400.0,01,Ain,437.0,MUNERET,Didier
Domsure,01147,1270.0,01,Ain,526.0,VACLE,Patrick
Dortan,01148,1590.0,01,Ain,1953.0,DUBARE,Marianne
Douvres,01149,1500.0,01,Ain,1094.0,LIMOUSIN,Christian
Drom,01150,1250.0,01,Ain,215.0,GUILLOT,Michel
Druillat,01151,1160.0,01,Ain,1139.0,EMIN,Jean-Luc
Échallon,01152,1130.0,01,Ain,765.0,PERNOD,Thierry
Échenevex,01153,1170.0,01,Ain,2127.0,PASSUELLO,Isabelle
Évosges,01155,1230.0,01,Ain,142.0,GUILLET,Christophe
Faramans,01156,1800.0,01,Ain,877.0,BROCHIER,Gérard
Fareins,01157,1480.0,01,Ain,2431.0,DUMOULIN,Yves
Farges,01158,1550.0,01,Ain,1058.0,GRAZIOTTI,Monique
Feillens,01159,1570.0,01,Ain,3381.0,BILLOUDET,Guy
Ferney-Voltaire,01160,1210.0,01,Ain,10920.0,RAPHOZ,Daniel
Flaxieu,01162,1350.0,01,Ain,64.0,BAL,Serge
Foissiat,01163,1340.0,01,Ain,2014.0,PICARD,Jean-Luc
Francheleins,01165,1090.0,01,Ain,1585.0,LUX,Jean-Michel
Frans,01166,1480.0,01,Ain,2482.0,NUGUET,Michelle
Garnerans,01167,1140.0,01,Ain,658.0,VIOT,Dominique
Genouilleux,01169,1090.0,01,Ain,650.0,REIGNIER,Alain
Béard-Géovreissiat,01170,1460.0,01,Ain,1048.0,COMTET,Laurent
Géovreisset,01171,1100.0,01,Ain,835.0,MOREL,Jeannine
Gex,01173,1170.0,01,Ain,13078.0,DUNAND,Patrice
Giron,01174,1130.0,01,Ain,176.0,MOINE,Florian
Gorrevod,01175,1190.0,01,Ain,786.0,GUILLERMIN,Henri
Grand-Corent,01177,1250.0,01,Ain,184.0,RAQUIN,Benjamin
Grièges,01179,1290.0,01,Ain,1901.0,GREMY,Annick
Grilly,01180,1220.0,01,Ain,864.0,DUPENLOUP,Christine
Groissiat,01181,1100.0,01,Ain,1230.0,DEGUERRY,Patricia
Guéreins,01183,1090.0,01,Ain,1495.0,CLEYET-MARREL,Claude
Hautecourt-Romanèche,01184,1250.0,01,Ain,758.0,ROCHET,Marc
Plateau d'Hauteville,01185,1110.0,01,Ain,4807.0,EMIN,Philippe
Haut Valromey,01187,1260.0,01,Ain,609.0,,
Illiat,01188,1140.0,01,Ain,689.0,LABALME,Richard
Injoux-Génissiat,01189,1200.0,01,Ain,1123.0,MOSSAZ,Denis
Innimond,01190,1680.0,01,Ain,89.0,GARDIEN,Serge
Izenave,01191,1430.0,01,Ain,155.0,DRUET,Thiery
Izernore,01192,1580.0,01,Ain,2267.0,COMUZZI,Sylvie
Izieu,01193,1300.0,01,Ain,222.0,MARTIN-BARBAZ,Denis
Jassans-Riottier,01194,1480.0,01,Ain,6355.0,REVERCHON,Jean-Pierre
Jasseron,01195,1250.0,01,Ain,1861.0,GOBERT,Sébastien
Jayat,01196,1340.0,01,Ain,1259.0,MOREL,Mickaël
Journans,01197,1250.0,01,Ain,380.0,TONNELLIER,André
Joyeux,01198,1800.0,01,Ain,262.0,MATHY,Joël
Jujurieux,01199,1640.0,01,Ain,2124.0,BOLLACHE,Anne
Labalme,01200,1450.0,01,Ain,210.0,MOLLIE,Frédérique
Lagnieu,01202,1150.0,01,Ain,7268.0,MOINGEON,André
Laiz,01203,1290.0,01,Ain,1299.0,SCHAUVING,Sébastien
Le Poizat-Lalleyriat,01204,1130.0,01,Ain,746.0,LENSEL,Bernard
Lantenay,01206,1430.0,01,Ain,270.0,BENOIT,Jean-Louis
Lapeyrouse,01207,1330.0,01,Ain,326.0,DUBOST,Gilles
Lavours,01208,1350.0,01,Ain,136.0,BOUILLIEN,Céline
Léaz,01209,1200.0,01,Ain,817.0,BLANC,Christine
Lélex,01210,1410.0,01,Ain,230.0,GROSSIORD,Roger
Lent,01211,1240.0,01,Ain,1408.0,CRISTIN,Yves
Lescheroux,01212,1560.0,01,Ain,714.0,NICOLIER,Aimé
Leyment,01213,1150.0,01,Ain,1392.0,KLINGLER,Lionel
Leyssard,01214,1450.0,01,Ain,163.0,MOURLEVAT,Michel
Surjoux-Lhopital,01215,1420.0,01,Ain,141.0,MALFAIT,Frédéric
Lhuis,01216,1680.0,01,Ain,892.0,GINET,Emmanuel
Lompnas,01219,1680.0,01,Ain,163.0,JOUX,Alexandre
Loyettes,01224,1360.0,01,Ain,3381.0,GAGNE,Jean Pierre
Lurcy,01225,1090.0,01,Ain,393.0,BISIGNANO,Nathalie
Magnieu,01227,1300.0,01,Ain,655.0,GUITTET,Thierry
Maillat,01228,1430.0,01,Ain,679.0,DUCRET,Jean Cyrille
Malafretaz,01229,1340.0,01,Ain,1214.0,LEROUX,Gary
Mantenay-Montlin,01230,1560.0,01,Ain,308.0,LEMAIRE,Michel
Manziat,01231,1570.0,01,Ain,1955.0,LARDET,Denis
Marboz,01232,1851.0,01,Ain,2268.0,MOIRAUD,Christelle
Marchamp,01233,1680.0,01,Ain,132.0,RAMONDOT,Claire
Marignieu,01234,1300.0,01,Ain,167.0,DEMANGE,Pascal
Marlieux,01235,1240.0,01,Ain,1182.0,GRANDJEAN,Jean-Paul
Marsonnas,01236,1340.0,01,Ain,1030.0,ANTOINET,Guy
Martignat,01237,1100.0,01,Ain,1671.0,ISSARTEL,Julien
Massieux,01238,1600.0,01,Ain,2721.0,NABETH,Patrick
Massignieu-de-Rives,01239,1300.0,01,Ain,642.0,VINETTE,Didier
Matafelon-Granges,01240,1580.0,01,Ain,629.0,DUPARCHY,Jean-Pierre
Meillonnas,01241,1370.0,01,Ain,1383.0,ARRAGON,Jean-Pierre
Mérignat,01242,1450.0,01,Ain,136.0,POIZAT,Alain
Messimy-sur-Saône,01243,1480.0,01,Ain,1288.0,GELAS,Vincent
Meximieux,01244,1800.0,01,Ain,8085.0,RAMEL,Jean-Luc
Bohas-Meyriat-Rignat,01245,1250.0,01,Ain,965.0,DARMEDRU,Emmanuel
Mézériat,01246,1660.0,01,Ain,2192.0,DUPUIT,Guy
Mijoux,01247,1170.0,01,Ain,297.0,VIALLET,Martine
Mionnay,01248,1390.0,01,Ain,2227.0,CORMORÈCHE,Henri
Miribel,01249,1700.0,01,Ain,10225.0,GAITET,Jean-Pierre
Misérieux,01250,1600.0,01,Ain,1994.0,AUMONIER,Gabriel
Mogneneins,01252,1140.0,01,Ain,803.0,CALAS,Franck
Montagnat,01254,1250.0,01,Ain,2145.0,CHICHOUX,Yvan
Montagnieu,01255,1470.0,01,Ain,666.0,ROSET,Jean
Montanges,01257,1200.0,01,Ain,350.0,MARQUET,Christophe
Montceaux,01258,1090.0,01,Ain,1198.0,DESCHIZEAUX,Jean Claude
Montcet,01259,1310.0,01,Ain,704.0,TARPIN,Franck
Le Montellier,01260,1800.0,01,Ain,319.0,MARTIN,Patrice
Monthieux,01261,1390.0,01,Ain,682.0,PAILLASSON,Philippe
Montluel,01262,1120.0,01,Ain,6838.0,FABIANO,Anne
Montmerle-sur-Saône,01263,1090.0,01,Ain,3792.0,PROST,Philippe
Montracol,01264,1310.0,01,Ain,1008.0,LAFONT,David
Montréal-la-Cluse,01265,1460.0,01,Ain,3541.0,DUFOUR,Patrick
Montrevel-en-Bresse,01266,1340.0,01,Ain,2578.0,BREVET,Jean-Yves
Nurieux-Volognat,01267,1460.0,01,Ain,990.0,BERGER,Arlette
Murs-et-Gélignieux,01268,1300.0,01,Ain,240.0,VALLIN,Pierre
Nantua,01269,1130.0,01,Ain,3449.0,THOMASSET,Jean-Pascal
Neuville-les-Dames,01272,1400.0,01,Ain,1515.0,CHALAYER,Michel
Neuville-sur-Ain,01273,1160.0,01,Ain,1799.0,DUPUIS,Thierry
Les Neyrolles,01274,1130.0,01,Ain,632.0,JUILLARD,Lucien
Neyron,01275,1700.0,01,Ain,2538.0,FRANCOIS,Christine
Niévroz,01276,1120.0,01,Ain,1634.0,BATTISTA,Patrick
Nivollet-Montgriffon,01277,1230.0,01,Ain,115.0,SIMONNET,Emmanuel
Oncieu,01279,1230.0,01,Ain,73.0,JACQUEMIN,Denis
Ordonnaz,01280,1510.0,01,Ain,141.0,REYMOND-BABOLAT,Laurent
Ornex,01281,1210.0,01,Ain,4690.0,GUICHARD,Olivier
Outriaz,01282,1430.0,01,Ain,255.0,MOREL,Claude
Oyonnax,01283,1100.0,01,Ain,22277.0,PERRAUD,Michel
Ozan,01284,1190.0,01,Ain,725.0,PESENTI,Marie-Jeanne
Parcieux,01285,1600.0,01,Ain,1319.0,TISSERAND,Nathalie
Parves et Nattages,01286,1300.0,01,Ain,955.0,COMET,Claude
Péron,01288,1630.0,01,Ain,2838.0,BLANC,Dominique
Péronnas,01289,1960.0,01,Ain,6448.0,CÉDILEAU,Hélène
Pérouges,01290,1800.0,01,Ain,1346.0,MAGNON-MICOLAS,Nathalie
Perrex,01291,1540.0,01,Ain,852.0,VIGHETTI,Jean-Jacques
Peyriat,01293,1430.0,01,Ain,148.0,GUENRO,Sylvain
Peyrieu,01294,1300.0,01,Ain,908.0,BETTANT,Maurice
Peyzieux-sur-Saône,01295,1140.0,01,Ain,666.0,THIVOLLE,Monique
Pirajoux,01296,1270.0,01,Ain,407.0,PIROUX,Noël
Pizay,01297,1120.0,01,Ain,914.0,GRIMAND,Marc
Plagne,01298,1130.0,01,Ain,161.0,DINOCHEAU,Philippe
Le Plantay,01299,1330.0,01,Ain,579.0,SARONI,Patrick
Polliat,01301,1310.0,01,Ain,2648.0,BIENVENU,Bernard
Pollieu,01302,1350.0,01,Ain,168.0,BRUN,Jean-Philippe
Poncin,01303,1450.0,01,Ain,1729.0,GIROUX,Jean-Michel
Pont-d'Ain,01304,1160.0,01,Ain,2871.0,BOURDEAUDUCQ,Vincent
Pont-de-Vaux,01305,1190.0,01,Ain,2189.0,PAUGET,Yves
Pont-de-Veyle,01306,1290.0,01,Ain,1629.0,MICHEL,Luc
Port,01307,1460.0,01,Ain,843.0,DUTRAIT,Gérard
Pougny,01308,1550.0,01,Ain,796.0,MARCELOT,Annie
Pouillat,01309,1250.0,01,Ain,81.0,REVEL,Jean-Pierre
Prémeyzel,01310,1300.0,01,Ain,247.0,ROPELE,Jean-Pierre
